City,Country,Latitude,Longitude,nearest_boundary_distance
Algiers,Algeria,36.76307,3.05055,1277.0567189986111
Luanda,Angola,-8.83829,13.23443,2366.1622218208154
Cotonou,Benin,6.40001,2.51999,4559.506075266865
Porto-Novo,Benin,6.48331,2.61663,11023.732128031099
Gaborone,Botswana,-24.64631,25.91195,12167.897919840952
Ouagadougou,Burkina Faso,12.37032,-1.52472,153659.23697587056
Bujumbura,Burundi,-3.37609,29.36001,16129.310544006516
Praia,Cabo Verde,14.9167,-23.51669,782.8745657860563
Douala,Cameroon,4.05106,9.76787,15694.559370145465
Yaounde,Cameroon,3.8667,11.51665,173799.09223972578
Bangui,Central African Republic,4.36664,18.55829,3353.7929866280715
N'Djamena,Chad,12.1131,15.04915,1979.802361380721
Moroni,Comoros,-11.71722,43.24731,775.1341632123228
Brazzaville,Congo (Brazzaville),-4.25919,15.28469,3144.922945963342
Pointe-Noire,Congo (Brazzaville),-4.76916,11.86636,1434.6065248209052
Kananga,Congo (Kinshasa),-5.89752,22.41723,169863.6557596668
Kinshasa,Congo (Kinshasa),-4.32972,15.31497,5111.214864498897
Kisangani,Congo (Kinshasa),0.51853,25.20077,491215.79135129607
Lubumbashi,Congo (Kinshasa),-11.6876,27.50262,24438.286314787445
Mbuji-Mayi,Congo (Kinshasa),-6.13067,23.59666,239012.21522300434
Abidjan,Côte d’Ivoire,5.32,-4.04005,
Yamoussoukro,Côte d’Ivoire,6.81838,-5.2755,
Djibouti,Djibouti,11.59501,43.148,426.1860122773026
Alexandria,Egypt,31.20009,29.91874,1441.9591887017757
Cairo,Egypt,30.04996,31.24997,132535.0121170287
Malabo,Equatorial Guinea,3.75002,8.78328,860.4197230776268
Asmara,Eritrea,15.33334,38.93332,63166.26150660003
Mbabane,Eswatini,-26.31665,31.13334,20143.055436415747
Addis Ababa,Ethiopia,9.03331,38.7,405700.7481678619
Libreville,Gabon,0.38539,9.45797,1029.907288425997
Banjul,"Gambia, The",13.45388,-16.5917,619.2898835985387
Accra,Ghana,5.55004,-0.21672,1653.723868798651
Kumasi,Ghana,6.6666,-1.61627,162023.17136469408
Conakry,Guinea,9.53152,-13.68024,311.90425856057163
Bissau,Guinea Bissau,11.86502,-15.59836,
Mombasa,Kenya,-4.04348,39.66821,344.6830116666478
Nairobi,Kenya,-1.28335,36.81666,125359.05354811295
Maseru,Lesotho,-29.31667,27.48327,1240.4211762513369
Monrovia,Liberia,6.31056,-10.80475,603.5520595074507
Tripoli,Libya,32.8925,13.18001,686.3922332536449
Antananarivo,Madagascar,-18.91664,47.51662,168145.94616970996
Lilongwe,Malawi,-13.9833,33.7833,52303.076257944704
Bamako,Mali,12.65002,-8.00004,112860.09362638945
Nouakchott,Mauritania,18.08643,-15.97534,5468.838843004206
Port Louis,Mauritius,-20.16664,57.49999,706.552630516864
Casablanca,Morocco,33.59998,-7.61637,760.1735045340436
Fès,Morocco,34.01812,-5.00785,164360.86300123233
Rabat,Morocco,34.0253,-6.83613,618.6407335635731
Tangier,Morocco,35.75947,-5.83395,4449.349022094271
Maputo,Mozambique,-25.95528,32.58916,1850.4402329390598
Matola,Mozambique,-25.92391,32.4658,4846.37019399696
Windhoek,Namibia,-22.57001,17.08355,284177.2178343265
Niamey,Niger,13.51671,2.11666,89834.52349291847
Aba,Nigeria,5.12159,7.37327,46862.86723587002
Abuja,Nigeria,9.08333,7.53333,358755.66490218695
Benin City,Nigeria,6.33499,5.60375,58358.95114321081
Ibadan,Nigeria,7.37754,3.94704,105521.64508925579
Kaduna,Nigeria,10.51046,7.41651,285729.0756929452
Kano,Nigeria,12.00218,8.59196,103323.01016636098
Lagos,Nigeria,6.44326,3.39153,3339.642543510112
Onitsha,Nigeria,6.13294,6.7924,134434.68042843192
Port Harcourt,Nigeria,4.81555,7.04984,187.24783921502916
Uyo,Nigeria,5.03774,7.91279,55314.0447478448
Saint-Denis,Réunion,-20.89066,55.45505,
Kigali,Rwanda,-1.95359,30.06053,43062.34041063102
Dakar,Senegal,14.71583,-17.47313,1757.1718531103907
Victoria,Seychelles,-4.61663,55.44999,1267.0698776347372
Freetown,Sierra Leone,8.47001,-13.23422,2153.4975056626686
Mogadishu,Somalia,2.06668,45.36668,2331.012915163938
Bloemfontein,South Africa,-29.11999,26.22991,108302.25217443562
Cape Town,South Africa,-33.92001,18.43499,394.16723553647734
Durban,South Africa,-29.85868,31.02184,612.294885197054
Ekurhuleni,South Africa,-26.1777,28.34619,276062.9178047899
Johannesburg,South Africa,-26.17005,28.03001,260367.71400943308
Port Elizabeth,South Africa,-33.96084,25.60224,1974.638131129181
Pretoria,South Africa,-25.70692,28.22943,234053.42490546822
Juba,South Sudan,4.82998,31.58003,114908.14843382346
Khartoum,Sudan,15.58808,32.53418,387003.92087968177
Dar es Salaam,Tanzania,-6.80001,39.26834,1526.0464085113983
Dodoma,Tanzania,-6.18331,35.75,337503.1981439984
Mwanza,Tanzania,-2.51643,32.91745,169242.97707901124
Lomé,Togo,6.13194,1.22276,1074.4308627104535
Tunis,Tunisia,36.80278,10.17968,380.00734155280065
Kampala,Uganda,0.31666,32.58332,146284.19087211485
Laayoune,Western Sahara,27.15004,-13.19908,21170.376479281364
Lusaka,Zambia,-15.41664,28.28333,93037.74144706833
Harare,Zimbabwe,-17.81779,31.04471,190087.95749993558
